nodo,pagerank,in_degree,out_degree,hits_hub,hits_authority,betweenness,closeness
145726,0.0003288150778626098,47,60,0.009206826065834131,0.008176648211349563,1.740147170914393e-05,0.08394138923425708
145892,0.008184280504008103,51,15,8.126068849244457e-07,1.5734244089672816e-06,0.01965480185178867,0.23710923686732818
146218,0.0001949645671670974,3,5,7.193640798121735e-14,4.160943322581768e-15,0.0,0.004911546682432125
146255,0.0007111316193789643,15,32,2.3725309074563538e-08,4.5637643626914e-09,0.010475728978504944,0.14450199113031012
146484,0.00024168397242032406,16,29,1.5906801809957108e-08,5.049440497708109e-09,3.750449215117033e-05,0.11731330581684028
146705,0.0004154924311283449,14,3,1.996042009770541e-09,4.3699332197538856e-08,2.8784829518529703e-05,0.007003501750875438
146722,0.0006120754044222832,18,15,6.33676241272921e-10,2.365635755096445e-10,0.0,0.11494225140437316
146876,8.64439217488278e-05,0,3,1.980970338655775e-17,3.502055040706114e-19,0.0,0.0
147171,0.00024168397242032406,16,29,1.5906801809955087e-08,5.049440497850338e-09,3.750449215117033e-05,0.11731330581684028
147621,0.000575184448367622,2,2,4.798281538701655e-21,3.7864364152222986e-19,0.0,0.0010005002501250625
147687,0.00023106492419896525,1,5,-1.5030012047204479e-21,2.0236341460955817e-19,0.0,0.0023821434526787202
147731,0.00028666583280490904,9,10,1.1538408804053236e-06,2.0027603068595197e-07,0.0,0.004502251125562781
147937,0.0005905300964430312,10,10,1.4274567381302462e-09,2.482975487541388e-10,2.7819493107692762e-08,0.11338725742693305
148246,0.0004935469820736486,5,8,1.2651197942387145e-05,9.418892251206746e-07,4.822450380494263e-05,0.10531535408557254
148453,0.0001495415598003539,20,47,0.005808353001498573,0.002109400859202557,1.287977036286763e-06,0.07417864070375109
148689,0.0007890212826700388,11,11,6.391144956173838e-09,2.222095717658181e-08,0.0,0.13756420082865328
148800,0.00024143868026650894,16,28,1.5841939630457238e-08,5.05069096801085e-09,5.640325800405841e-08,0.11731330581684028
148889,0.0011796255491785456,71,4,1.0594456180194801e-06,4.005182174431589e-06,0.00031940611152368883,0.13256009958007434
148909,0.0006583813607144265,44,36,9.187366594506164e-07,1.9062992000602566e-06,4.085398320666542e-06,0.17340906535503833
148939,0.00025215729181272105,11,14,1.4946282069561538e-07,5.52682865639538e-08,1.0419791143486321e-05,0.005502751375687844
149020,0.00012026979086566884,2,4,1.044049027821442e-06,2.5243423607498577e-08,0.00010975690259879538,0.11157667121313333
149042,0.0005751844483676223,29,29,1.3176522239053804e-18,3.2864065276015228e-18,0.0,0.014507253626813406
149627,8.64439217488278e-05,0,0,-0.0,1.643842618994065e-18,0.0,0.0
149863,0.00039422224380273013,48,44,3.2375354889326327e-06,2.9897363078109223e-06,1.3992749084566928e-06,0.09440239485940154
149947,0.00023631675155485617,1,1,7.760113379586292e-22,2.0245049199775257e-20,0.0,0.008841021818098592
149956,0.00012264320309383436,17,44,1.949020600684726e-06,8.516697896905074e-07,0.0,0.008504252126063032
150148,0.0005751844483676223,29,29,1.3150017797912794e-18,3.4729453825735125e-18,0.0,0.014507253626813406
150384,0.0003310007257121334,48,61,0.00919348886375271,0.008258553437819864,0.00023743626348235905,0.08395077655132643
150468,0.00023631675155485617,1,1,7.760113379586292e-22,4.1382803856595045e-19,0.0,0.008841021818098592
150705,0.0006058015943651171,17,29,1.5903273646719325e-08,5.2977534227114875e-09,0.00020583749356737992,0.11799557433542299
150733,0.0009109784007888158,17,3,1.0457424925088163e-06,3.4935551572836716e-07,0.0,0.12254127390172397
150790,0.00024055364905538942,3,4,0.000461724745018564,2.697482395320104e-05,1.2518771898461744e-07,0.08178318378058187
150806,0.00024143868026650894,16,28,1.5841939630455153e-08,5.050690968157606e-09,5.640325800405841e-08,0.11731330581684028
150828,9.79647270245102e-05,2,14,-7.311699634203201e-19,7.85579162175949e-19,0.0,0.0010005002501250625
151011,0.0006583813607144265,44,36,9.187366594506272e-07,1.9062992000595027e-06,4.085398320666542e-06,0.17340906535503833
151161,0.00023888969573063247,42,55,0.006806502955884767,0.005569878511298116,2.635530925991946e-08,0.06665078965834689
151173,0.00025865862284118546,6,12,2.7743178703442653e-09,2.0295224532837662e-08,1.2518771898461744e-07,0.004456773841466187
151428,0.007743280846732732,51,11,2.2614132529890273e-07,1.5639080193445679e-06,0.008439576070775239,0.23733412706985807
151472,0.0003809980119789786,1,3,0.00028011236570341097,1.0595566761056012e-05,0.0,0.09297595292568257
151707,0.002216751815646604,148,6,0.0012003814872808176,0.01899132401444547,0.0013487808816556887,0.09671319813475407
151878,0.00019439567391432662,2,11,-2.6717616895515456e-21,3.494756883503223e-19,0.0,0.004252126063031516
151939,0.0007568675241239146,42,0,-0.0,8.866400542446036e-07,0.0,0.06736373024354858
151981,0.0006100361322375642,5,1,7.134341899249428e-14,4.171361923230745e-15,5.007508759384698e-07,0.006615552674296332
152107,0.0002009367197694724,2,11,9.100001475636193e-13,3.162716664705328e-14,0.0,0.0043809783679718646
152126,0.00015256434457437082,21,43,0.0053448506703011,0.002257222351432277,1.736631520068992e-05,0.07448038931659501
152246,0.00024168397242032406,16,29,1.590680180995514e-08,5.049440497846593e-09,3.750449215117033e-05,0.11731330581684028
152267,8.64439217488278e-05,0,0,-0.0,-7.241926209730785e-20,0.0,0.0
152360,0.0007522973759382365,15,10,-2.2772639781757357e-21,-2.7764837967192054e-20,7.511263139077047e-08,0.007609067691740607
152944,8.64439217488278e-05,0,14,1.1576379135105029e-06,8.944796497777681e-20,0.0,0.0
152982,0.00023631675155485617,1,1,7.760113379586292e-22,2.1389152497859927e-19,0.0,0.008841021818098592
153026,0.0006907090537911633,14,12,2.9737301487798803e-09,2.0832701943197884e-08,0.00015310458031818713,0.11263133442189963
153049,0.0002730511208051777,3,8,3.2798568492187e-09,1.8985854265307078e-10,0.0,0.10063304614791226
153074,0.0001148535537689555,5,17,-7.804154789497348e-19,-2.479523021332555e-19,0.0,0.0025012506253126563
153432,0.00012012050139734025,2,9,1.0862360773426996e-06,4.191154419180199e-08,0.00030645953607434347,0.08515061750475965
153450,0.0011550138371130127,45,13,1.365227045039576e-08,5.527466586955741e-08,4.6901457041883056e-05,0.14018447132062764
153746,0.00024058364353664056,22,36,0.004623174437209442,0.001985124467635561,1.0393796017112425e-05,0.08367006731185478
153812,0.00011201473788264109,2,16,1.372004261753872e-06,2.655492318548814e-08,1.6717843213550405e-05,0.11584688949412979
153896,0.0001108843627830062,1,8,1.0859385305011452e-06,2.0964386089291807e-08,0.0,0.08513130459536868
154106,0.00033370889492715424,3,2,-2.2357875249742733e-20,-3.1131456659087088e-19,0.0,0.0022283869207330937
154177,0.00015602274987282845,22,44,0.005428354412989123,0.002345257566255548,2.1228137982408215e-05,0.07449517157109864
154213,0.0002891189206178821,4,3,-7.117169198636405e-21,-3.964439311575419e-19,1.8778157847692615e-07,0.006010147931108411
154291,0.0003264863325821469,13,21,1.2711164880465115e-06,3.1732054072799526e-07,1.0620091493861712e-05,0.12459549276713046
154483,0.0004744062794793272,3,4,-1.6989255948525218e-20,-4.353009650268972e-19,0.0,0.0016008004002001
154835,8.64439217488278e-05,0,14,1.3427601782193513e-06,5.099537372990566e-19,0.0,0.0
154919,8.64439217488278e-05,0,3,-7.711801278654626e-21,-3.4895226333583414e-19,0.0,0.0
155082,0.00010279406005326976,1,5,2.5195780523824426e-09,2.5194848966544683e-08,0.0008917209333664132,0.11151037491413562
155446,0.0006583813607144265,44,36,9.187366594506206e-07,1.906299200059952e-06,4.085398320666542e-06,0.17340906535503833
155461,0.00011201473788264109,2,19,1.38150306388517e-06,2.6554923185738282e-08,0.0007441126179149183,0.11584688949412979
155821,0.0004449655715952029,39,46,3.2703241302277616e-06,2.4267729820995656e-06,9.789159373738662e-05,0.1098942825240757
155828,0.00012062095099686468,1,5,1.0450821976825295e-06,1.8485848835826082e-09,0.0001729645571494032,0.0006670001667500416
155882,0.000575184448367622,1,1,-3.324996328342885e-22,-1.3319218042335755e-19,0.0,0.0005002501250625312
156205,8.64439217488278e-05,0,0,-0.0,-1.1212189189386242e-18,0.0,0.0
156207,0.0009608768590342345,16,7,-5.604030873179548e-20,-4.897007161721993e-19,0.0,0.0080040020010005
156714,0.0001949645671670974,3,5,7.193640782929374e-14,4.160954015000121e-15,0.0,0.004911546682432125
156959,0.00024445586479021907,3,11,1.0946050653826318e-06,6.285647171142484e-08,0.0003743575016871409,0.11588265574590322
157126,0.00023895464432438954,42,56,0.006936658815393882,0.005567369252235547,1.8501217931342361e-06,0.06665078965834689
157264,0.00025479042099810125,2,2,2.8435096180731467e-10,2.0001719434070533e-08,5.007508759384698e-07,0.0011255627813906953
157295,0.00023631675155485617,1,1,7.760113379586292e-22,-1.9446139229640355e-19,0.0,0.008841021818098592
157403,0.0004116841713705171,9,3,-7.976773543323646e-21,4.331442212166502e-19,1.2965870894835375e-06,0.007253626813406703
157682,0.000319203208885367,46,59,0.009124029427879493,0.00803884680579288,1.2814672499587418e-05,0.08393200401631944
158009,8.64439217488278e-05,0,5,1.0539283532180303e-06,1.031042646668374e-19,0.0,0.0
158344,0.0001158357147983773,2,4,8.823404745941696e-22,-2.733343101693613e-19,1.0015017518769395e-06,0.0010005002501250625
158348,8.64439217488278e-05,0,0,-0.0,7.572399534476298e-21,0.0,0.0
158503,0.0001531045011784732,21,47,0.005806479293699883,0.002241272836981839,2.338974247295496e-05,0.07448038931659501
158718,8.64439217488278e-05,0,1,-1.4064338108089331e-21,4.0684665699714485e-19,0.0,0.0
158732,0.001040772369640035,37,20,7.69569364200842e-09,1.2487695198903058e-07,0.006064439746238113,0.14108021874120674
158868,0.00026777033348506787,11,13,4.285324782787187e-09,2.335041017194941e-08,0.0,0.005502751375687844
159199,0.0003151713822440317,25,29,2.0344029470666787e-08,9.674607993801739e-09,0.0002561645088362208,0.12086424793462583
159247,0.0003258522514621718,13,20,1.2654211282642959e-06,3.1743034087857706e-07,0.0,0.12459549276713046
159405,0.00022410214177361447,8,16,-4.250551421992962e-20,8.154805131493914e-19,0.0,0.0053360013340003325
159427,0.00031161826836960713,2,4,1.4363396594111793e-13,4.163392636220977e-15,0.0,0.007930570789982147
159517,0.0003188254022105983,6,7,-1.2030977412030372e-20,-3.8762207374355145e-19,0.0,0.0030015007503751876
159569,0.000519503311184958,60,45,3.246553923319831e-06,3.7217913020586965e-06,5.047805244386865e-05,0.11023316357150677
159582,0.0005924189851204501,11,10,8.776114604108607e-10,3.894653229810931e-08,2.1518377918800356e-05,0.11369088293030775
159607,0.00012652867433181217,3,6,1.089468819807988e-06,6.303407804579317e-08,7.511263139077046e-07,0.003611805902951476
159929,0.0006599038141325372,44,40,9.386267911958622e-07,1.905915740618963e-06,0.00026795201460644844,0.17340906535503833
160021,8.64439217488278e-05,0,1,2.0211995546792515e-20,-6.758945149547163e-19,0.0,0.0
160032,9.2057929976614e-05,1,13,-7.380875217480712e-19,3.9601027044555476e-19,0.0,0.0005002501250625312
160050,0.0004624168296453303,18,7,1.4277888239273748e-08,5.635898572174428e-09,0.0,0.11757053154611763
160166,0.0003578186274604291,25,27,1.292530955732122e-06,6.289415872447903e-07,1.8679525099401717e-05,0.021792408809446738
160177,0.00021407867251404782,1,1,5.1258637207484885e-21,1.996924234145111e-08,0.0,0.0006670001667500416
160241,8.64439217488278e-05,0,2,4.951992320029147e-16,-1.533318326292982e-19,0.0,0.0
160277,8.64439217488278e-05,0,0,-0.0,-3.558745614442545e-19,0.0,0.0
160369,0.0002846197991431971,2,4,7.185862791481271e-14,1.395881658479076e-15,0.0,0.006233886173856159
160383,0.00011620764833529659,1,7,-6.708870557395528e-21,-1.7928786355168606e-19,0.0,0.0017250004312501079
160399,0.0010212310091857817,8,6,-3.2784021269033054e-21,6.896305055910422e-19,7.0105122631385765e-06,0.00416875104218776
160679,0.00023913646785950663,42,59,0.006927117502980922,0.005567553198042757,1.404737983553708e-05,0.06665078965834689
160831,0.0013516858982449502,23,5,1.1163533948025999e-06,4.510681818389621e-07,0.0012996557342297504,0.1275161956721524
160917,0.0006163787545810982,10,10,5.884843664610094e-10,2.019970298736599e-08,1.7526280657846441e-06,0.0050025012506253125
160937,0.00023848090475852958,7,11,1.1103581185719451e-06,1.5091844452794446e-07,9.595585161145718e-07,0.1191568006225335
161093,8.64439217488278e-05,0,6,1.149545208342765e-06,1.2846275375825513e-19,0.0,0.0
161403,0.00014694304801277,5,8,1.0933934939808686e-06,1.0644617670933606e-07,1.8360865451077224e-06,0.06684664683187543
161426,0.00015452042020629815,22,38,0.004649911103061659,0.0023112969556406664,4.0079292563957856e-05,0.07421530834621463
161514,0.0006907090537911633,14,12,2.974977796359714e-09,2.0832677888814368e-08,0.00010190280325347718,0.11263133442189963
161533,8.64439217488278e-05,0,1,2.0211995546792515e-20,7.05680274494395e-19,0.0,0.0
161890,0.008306600869924156,71,37,9.18068073943638e-07,2.47950601491994e-06,0.0800926011181829,0.23846500759909817
162049,0.0004953861326670097,5,5,1.550234882633785e-11,2.723911167052792e-10,0.0,0.0025012506253126563
162248,0.0003151713822440317,25,29,1.771112567569056e-08,9.725367427689318e-09,2.4063379648794762e-05,0.12086424793462583
162292,8.64439217488278e-05,0,1,1.0352418435840192e-06,-2.1220812446264758e-19,0.0,0.0
162445,0.0003964397989082019,8,8,1.0467447857597608e-06,1.2153253092505333e-07,6.746783468477652e-05,0.00400200100050025
162504,0.0005185920905278448,21,16,1.3648277150433716e-06,5.315522222309597e-07,0.00037656682923760913,0.14239147267108518
162673,0.0005676705581291157,2,2,2.0697523616718522e-20,7.227051157695654e-19,1.2518771898461744e-07,0.0011255627813906953
162800,0.000838540011490389,9,8,2.94122823176435e-10,5.1140869606225176e-11,0.0,0.07483679034213549
162897,8.64439217488278e-05,0,4,5.2054427668122603e-20,-1.6070004290754013e-19,0.0,0.0
162924,0.00023895464432438954,42,56,0.0068328767809631465,0.005569370053516482,2.210501648817299e-06,0.06665078965834689
163002,0.0003578186274604291,25,27,1.2925309557321226e-06,6.289415872454342e-07,1.8679525099401717e-05,0.021792408809446738
163051,0.00010372964720034411,3,15,-7.359470623928529e-19,-2.407952489006381e-19,0.0,0.0015007503751875938
163535,0.000575184448367622,1,1,3.178655957724294e-22,-1.7416897333874424e-21,0.0,0.0005002501250625312
163536,8.64439217488278e-05,0,0,-0.0,-2.352253353738003e-19,0.0,0.0
163632,8.64439217488278e-05,0,14,1.1088038142187094e-06,2.2949072851951477e-19,0.0,0.0
163910,8.64439217488278e-05,0,2,4.951992320029147e-16,1.795178900324452e-19,0.0,0.0
163930,0.00012269487851508757,17,45,1.951604595170742e-06,8.516199731735459e-07,9.138703485877074e-07,0.008504252126063032
164067,0.000575184448367622,4,4,1.6348611011989488e-20,1.2960694919120601e-19,0.0,0.002001000500250125
164206,0.0006583813607144265,44,36,9.18736659450617e-07,1.9062992000602248e-06,4.085398320666542e-06,0.17340906535503833
164271,8.64439217488278e-05,0,2,1.1731879504054158e-06,-6.209786271077993e-19,0.0,0.0
164311,0.0001148535537689555,5,17,-7.7687491998454325e-19,3.816018126885679e-19,0.0,0.0025012506253126563
164701,0.0002665415138385309,5,23,1.4694547436771587e-06,1.0311223116948341e-07,0.004510988392488728,0.12103963945855548
164792,0.0003000466783607315,4,11,4.3593769570438885e-09,3.154031664567715e-10,0.0,0.10160572710597723
164873,0.0016313540385511913,22,8,2.1991209987730484e-09,7.616791208375633e-08,0.00028380055893812773,0.12129946151931417
164883,0.00023888969573063247,42,55,0.006806502955884765,0.005569878511298114,2.635530925991946e-08,0.06665078965834689
165023,0.00013971709531830352,1,4,1.435739924663938e-13,2.768729613351653e-15,0.0,0.0065487289099095
165189,0.000537584179195977,17,15,1.7748568798297305e-08,5.820402711144968e-09,2.1621707464628613e-05,0.11536619700660228
165336,0.00034491874024724126,5,12,1.0874276519327376e-06,1.0496359104046295e-07,0.001537122976680475,0.0988397424518711
165609,0.00036844927307492115,1,5,1.467016451923876e-09,1.2038904946426238e-10,1.2518771898461744e-07,0.09653907457844148
165672,0.0005751844483676223,29,29,1.317144592531539e-18,3.3221337382680004e-18,0.0,0.014507253626813406
165699,0.0007123574894070081,8,9,0.0004674340498506644,6.847274905350831e-05,0.0,0.094319367247388
165950,0.000575184448367622,2,2,-3.2655618439202668e-21,6.938988014586542e-20,0.0,0.0010005002501250625
166032,0.0007131303109055159,21,16,5.966960519366667e-10,1.0227926019769324e-12,8.945694288365624e-05,0.010505252626313157
166057,0.0007355078274523758,15,8,1.0829678934120391e-06,3.1403769986282703e-07,0.00033736736298544095,0.11609771789699366
166381,0.0005905300964430312,10,10,1.4274567381346547e-09,2.482975484438514e-10,2.7819493107692762e-08,0.11338725742693305
166566,0.00023924788440365442,42,61,0.007204033341820276,0.005562214571101207,0.00012811422083201942,0.06665078965834689
166823,0.00045291825578590923,2,1,1.0207628617163243e-20,7.382811777025929e-19,0.0,0.0011255627813906953
166893,0.0020868569816920473,19,3,1.4229222248778977e-23,-4.656781884156828e-19,5.5583347229170146e-05,0.009504752376188095
166976,8.64439217488278e-05,0,0,-0.0,-3.2462164058386377e-19,0.0,0.0
167094,0.00017642349019111571,3,5,1.4078832918470787e-07,8.142723475698398e-09,0.0,0.0015007503751875938
167138,0.00010271627767421119,4,18,3.2239277135563435e-09,2.490242458393182e-10,0.0,0.002001000500250125
167295,0.0004841487893571507,15,1,4.514025720965696e-09,3.420069511472027e-07,0.0,0.12463686600065765
167818,0.0007135819915017699,15,12,2.9745455152692434e-09,2.0863101929530163e-08,0.00016891996214991184,0.11264823588264722
168189,0.0006120754044222832,18,15,6.336762412872337e-10,2.3656357450230953e-10,0.0,0.11494225140437316
168204,0.0005905300964430312,10,10,1.4274567381355168e-09,2.4829754838317065e-10,2.7819493107692762e-08,0.11338725742693305
168644,0.00032784500195247963,47,61,0.009215099076873986,0.008124133432987232,0.00013550420831434765,0.08394138923425708
168690,0.00023888969573063247,42,55,0.006806502955884767,0.0055698785112981136,2.635530925991946e-08,0.06665078965834689
168703,0.0005655329110460844,4,4,-2.128943882266723e-20,-8.734982267945045e-19,1.3353356691692525e-06,0.003762297815574454
168793,0.00027100521577483577,8,10,1.1617192309445191e-06,1.7369516251435385e-07,4.5640102569738825e-05,0.00400200100050025
168812,0.000575184448367622,1,1,-2.474686200438065e-23,2.237145237468579e-20,0.0,0.0005002501250625312
168866,8.64439217488278e-05,0,5,-4.5930316516706055e-20,-2.402437931393988e-19,0.0,0.0
169107,8.64439217488278e-05,0,10,1.1033967774278585e-06,1.3074839949433605e-18,0.0,0.0
169218,0.000442373125371084,1,3,6.5153110561171614e-21,1.2896959404614853e-18,1.2518771898461744e-07,0.0009004502251125562
169274,0.0002800321580458602,1,5,7.193742428507424e-14,-1.463294592578177e-19,1.2351854939815588e-05,0.006294409340592626
169334,8.64439217488278e-05,0,0,-0.0,1.535822673702821e-19,0.0,0.0
169594,0.00015992340437270155,1,2,1.037446197915332e-06,3.9864692835657185e-19,0.00020180260300320334,0.0005002501250625312
169826,0.0001812616245235854,8,13,1.0727346552454847e-06,1.6544897267358486e-07,0.0,0.00400200100050025
169833,0.00010271627767421119,4,18,2.6884430320158304e-12,2.0766193102651512e-13,0.0,0.002001000500250125
169971,0.0018740813073897208,22,4,4.2198488121684485e-09,1.2320839723418283e-06,0.000563451886270926,0.1793329775255521
170055,0.00040367693177291756,1,2,2.965859120434709e-20,8.162106950635706e-19,0.0,0.0006670001667500416
170063,0.0007979216370339455,16,10,8.193492271123607e-13,6.38003224183051e-12,5.007508759384698e-08,0.008031793674615085
170281,0.001100287881316895,28,7,1.0913053264743248e-06,5.979614698399263e-07,6.326794720991821e-07,0.1268053790408718
170290,0.00027459096427707357,8,12,1.162603605073065e-06,1.7367811277300572e-07,0.00021377938806197916,0.00400200100050025
170452,0.00023322595144602447,2,4,2.5980610242966035e-10,4.133995062977891e-15,2.7541298176615836e-06,0.0010005002501250625
170454,0.00010964600721944076,6,34,0.0058699446383309,0.0008449040071187916,1.360383354355916e-05,0.07420797191794791
170473,0.00024025754192996077,22,34,0.004426523855515045,0.001988915670399208,1.2249550997419555e-08,0.08367006731185478
170578,0.000985170762654229,21,7,1.0934062206170924e-06,4.5010006588719153e-07,0.0,0.12665561733118966
170615,0.00039107144759164907,8,7,1.0468887385460086e-06,1.2152975567494864e-07,6.957098836371808e-05,0.00400200100050025
170752,0.0006599038141325372,44,40,9.419342351642854e-07,1.9058519768068301e-06,0.0006945698696262467,0.17340906535503833
170956,0.0002431324587475459,7,15,1.118613062770447e-06,1.5075929845736637e-07,2.418889640278111e-06,0.1191568006225335
171316,0.00023888969573063247,42,55,0.006806502955884767,0.005569878511298115,2.635530925991946e-08,0.06665078965834689
171341,0.00023851148981917093,3,4,-9.641193797483698e-21,-9.221287254693048e-20,0.0,0.0015007503751875938
171343,0.0008377758541843795,3,2,7.520097269478669e-22,5.74842400360602e-19,7.511263139077046e-07,0.0015007503751875938
171676,0.000325450426096774,46,59,0.00912407029165561,0.008035970804006486,9.371862531452977e-07,0.08393200401631944
171957,0.00010970421530306305,4,47,3.270974021504127e-06,2.4412099087633514e-07,2.554783278478461e-05,0.09347376963291758
172012,9.2057929976614e-05,1,13,-7.5026743981453665e-19,-6.794674637871476e-20,0.0,0.0005002501250625312
172217,8.64439217488278e-05,0,0,-0.0,2.3250883221213854e-20,0.0,0.0
172569,0.000519284388437532,60,44,3.2287266712036157e-06,3.722134991490729e-06,3.312739909746782e-05,0.11023316357150677
172605,0.00015256434457437082,21,43,0.0053448506703011,0.002257222351432277,1.736631520068992e-05,0.07448038931659501
172848,0.0006603889602333552,14,12,2.7703455095355667e-09,2.0574800183140143e-08,0.0005397081018224925,0.007003501750875438
172965,0.0011359597600948592,44,16,3.544432528242803e-08,5.4773153544041595e-08,0.0013884460571464204,0.14015829796899945
173057,0.0012358866458830676,30,8,1.0934576351881696e-06,6.396014573275352e-07,0.00022629507779576755,0.12773317065202672
173100,8.64439217488278e-05,0,0,-0.0,-5.803384302459268e-19,0.0,0.0
173147,0.000345864854948683,7,6,9.499743711458653e-09,1.4134630814235665e-07,1.5022526278154095e-07,0.0035573342226668885
173171,8.64439217488278e-05,0,0,-0.0,5.436925980574056e-19,0.0,0.0
173462,0.00010583670722364927,2,12,1.0999980415504431e-06,4.225119675318069e-08,6.572355246692416e-06,0.0021617951833059388
173650,0.00011201473788264109,2,17,1.3741069478353113e-06,2.6554923185664335e-08,1.7051677130842716e-05,0.11584688949412979
173654,0.0006263036371166482,13,9,1.7716515904578162e-09,5.772703498502834e-10,3.2548806936000535e-06,0.006536601634150409
173778,0.000312055784767305,44,60,0.009130420240405671,0.00777192386216548,0.0024377980671344748,0.0839132398750236
173874,0.00038498906295579354,9,8,1.0534472771576538e-06,1.8306234527577003e-07,0.0,0.004502251125562781
173905,0.0005727391740481106,5,1,3.3384354546197645e-08,8.609630652695061e-10,0.00027395727329027314,0.13847774283747666
173934,0.0007979216370339455,16,10,8.193492243847697e-13,6.380032433798973e-12,5.007508759384698e-08,0.008031793674615085
174002,0.0008591989846333264,16,11,2.779475208142045e-20,8.549691980927858e-20,3.7556315695385234e-06,0.008031793674615085
174174,0.00023631675155485617,1,1,7.760113379586292e-22,-5.451272930594288e-20,0.0,0.008841021818098592
174407,0.00016341741655534893,6,14,1.052606618749991e-08,1.1977995190436478e-09,0.0,0.11391317813686813
174492,0.00010935766838876936,4,16,-7.647206538325682e-19,-5.861992886478988e-19,0.0,0.002001000500250125
174764,0.0008084743167645321,16,12,8.202481053056443e-13,6.380014647585959e-12,3.80570665713237e-06,0.008031793674615085
175021,0.0003477518576405701,1,0,-0.0,1.288679059490884e-19,0.0,0.11922448480849573
175106,0.00017125213074137947,7,14,1.0940153924141211e-06,1.0760332431774047e-07,2.8066830500720876e-05,0.09089330959219773
175144,0.0006729325536913809,5,4,-4.082719314719697e-20,-3.5915897455241567e-19,0.0,0.0025012506253126563
175392,0.00014936064344096817,20,44,0.005431602390319759,0.0021166641886369267,6.709037267873857e-08,0.07417864070375109
175444,0.0006617000504761215,44,46,1.0123093464612038e-05,1.7288495192265597e-06,0.0181958779255377,0.17340906535503833
175476,0.00024168397242032406,16,29,1.5906801809941723e-08,5.049440498791073e-09,3.750449215117033e-05,0.11731330581684028
175937,0.00015918705264969678,2,14,1.4437642553354524e-08,7.772529376216616e-10,8.856900135771696e-07,0.11607976556702661
176050,0.00031509930000142876,24,28,1.2909599807275317e-06,5.999979252268394e-07,1.0070295212866495e-05,0.018009004502251125
176350,8.64439217488278e-05,0,0,-0.0,-3.104390158248135e-19,0.0,0.0
176419,0.0008182289707275251,8,1,2.1674940523590996e-21,2.6786735453167164e-20,8.763140328923221e-07,0.00416875104218776
176434,0.00023913646785950663,42,59,0.006972817458192193,0.005566672154137358,1.689038751429596e-05,0.06665078965834689
176519,0.0006087773407170484,2,2,1.5627900448540143e-21,7.719023090105049e-20,5.007508759384698e-07,0.0011255627813906953
176611,0.00031509930000142876,24,28,1.290959980727509e-06,5.999979252263538e-07,1.0070295212866495e-05,0.018009004502251125
176790,0.001650362405541406,56,17,-8.170959853235588e-19,-4.354833237110532e-18,4.500475324122441e-06,0.02801400700350175
176824,9.266666706522509e-05,2,61,0.009251542906539378,0.00035415110752315865,6.259385949230872e-08,0.07387205706769938
176864,8.64439217488278e-05,0,1,7.608791765316791e-22,8.483989992711834e-20,0.0,0.0
176983,0.0002979784013122013,6,6,1.1810659432025475e-05,1.3160503397714964e-06,0.0,0.0661107744537174
177014,0.000537584179195977,17,15,1.7748568798302183e-08,5.820402710801605e-09,2.1621707464628613e-05,0.11536619700660228
177053,0.00024168397242032406,16,29,1.5906801809946828e-08,5.049440498431492e-09,3.750449215117033e-05,0.11731330581684028
177160,0.0006120754044222832,18,15,6.336762412927099e-10,2.365635741168903e-10,0.0,0.11494225140437316
177164,0.00011201473788264109,2,17,1.3771664468937576e-06,2.6554923186619818e-08,1.712122586361195e-05,0.11584688949412979
177176,8.64439217488278e-05,0,10,1.2128231573500856e-08,7.212002807848687e-20,0.0,0.0
177212,0.00023888969573063247,42,55,0.006806502955884767,0.005569878511298117,2.635530925991946e-08,0.06665078965834689
177701,8.64439217488278e-05,0,1,4.096333449698726e-09,1.6522527551184185e-20,0.0,0.0
177935,0.00013097786191501462,4,10,1.0911881949577651e-06,8.414754057111339e-08,0.0,0.002001000500250125
177985,8.64439217488278e-05,0,0,-0.0,-6.661836575231267e-19,0.0,0.0
178070,0.0010653461816890887,12,6,2.6948304064203033e-20,-8.104858038069096e-20,6.4560101523027415e-06,0.008249222650540957
178204,0.0004071003975908746,10,8,1.0472318507978017e-06,1.977840845254702e-08,0.003311211275739387,0.13611746943281253
178226,8.64439217488278e-05,0,1,2.0211995546792515e-20,-6.987835155007124e-19,0.0,0.0
178294,0.0007131303109055159,21,16,2.5081973562257872e-12,1.2478069435214063e-11,8.960322450400822e-08,0.010505252626313157
178302,0.00039898330944170793,9,9,1.647779828310577e-08,2.0723502721160395e-08,0.0005178867709548255,0.11152694160183643
178318,0.0002693427672104539,1,2,7.16407218452884e-14,1.3819771257626133e-15,0.0,0.006059104318514397
178420,0.0010507207722238992,5,6,1.0582646656631424e-06,6.386942524084892e-08,6.333291679626619e-05,0.1391193187401707
178504,0.000519503311184958,60,45,3.246553923319847e-06,3.721791302057579e-06,5.047805244386865e-05,0.11023316357150677
178535,0.0004200171832884713,13,14,1.0819237568353532e-06,2.5119383232684925e-07,1.5523277154092564e-05,0.0065032516258129065
178578,0.0003151604542506189,24,27,1.28345687817582e-06,5.999980045176887e-07,9.480124537653303e-06,0.018009004502251125
178627,0.0002390173475094051,42,57,0.006839874245605135,0.005569235150242559,8.039697072810124e-06,0.06665078965834689
178632,0.00023611236814153063,3,3,1.0478732077954144e-20,3.861950095508091e-19,0.0,0.0015007503751875938
