nodo,pagerank,in_degree,out_degree,hits_hub,hits_authority,betweenness,closeness
15452,0.00021401629015703293,2,10,2.5208723268037343e-20,2.221959352268479e-19,0.0,0.0043809783679718646
15679,0.0003188254022105983,6,7,-1.8135750130041874e-20,4.203320803489054e-20,0.0,0.0030015007503751876
15738,0.0006384571581416718,9,11,8.223466821869623e-08,1.8362123857722965e-07,0.0017629339239106428,0.13842667230720285
16038,0.00019400124413245732,4,7,1.082042011655959e-06,2.2824790614464898e-07,0.0004266041875790652,0.14659008863932066
16120,0.0005751844483676221,2,1,-4.674111316111329e-21,3.114776040197197e-19,0.0,0.0010005002501250625
16356,0.0005751844483676219,3,3,6.192642915465657e-21,-7.496112476617619e-20,0.0,0.0015007503751875938
16566,0.00023631675155485617,1,1,7.760113379586292e-22,-3.6603264768842236e-19,0.0,0.008841021818098592
16615,0.00031509930000142876,24,28,1.2891537997685599e-06,5.999979443135807e-07,1.1191023363776402e-05,0.018009004502251125
16657,8.64439217488278e-05,0,5,-1.0872211040389118e-20,-1.2154235610172566e-19,0.0,0.0
16799,0.00023631675155485617,1,1,7.760113379586292e-22,2.4653059677518006e-19,0.0,0.008841021818098592
16858,0.00010743805964136316,2,6,4.9014989906423736e-20,6.852842158913666e-19,1.7407054258813473e-06,0.0010005002501250625
16937,0.000313231165679131,1,5,1.436133320619346e-13,1.3921627647088447e-15,1.7776656095815678e-05,0.007954897694245896
16969,0.0003906258424790746,8,10,8.737341572602463e-10,1.23758328281507e-10,0.0,0.00416875104218776
16984,8.64439217488278e-05,0,0,-0.0,-1.0262567630039302e-19,0.0,0.0
17046,0.0004200171832884713,13,14,1.0819237568353466e-06,2.511938323273211e-07,1.5523277154092564e-05,0.0065032516258129065
17139,0.00016093408952288195,3,0,-0.0,2.3338278440207937e-07,0.0,0.1358962510353315
17151,0.00013097786191501462,4,10,1.0911881949577605e-06,8.41475405714285e-08,0.0,0.002001000500250125
17155,0.00012062095099686468,1,3,1.0495769792920353e-06,2.0234667552245194e-08,0.0,0.0005002501250625312
17438,0.0003923963775816509,4,20,9.378740036274972e-06,1.1938787188129285e-07,0.010215503115889661,0.17229466236446203
17483,0.00045125586669925817,28,26,1.3017340911263098e-06,6.909370872896222e-07,1.7685522122523227e-05,0.022356005589001398
17490,0.0001148535537689555,5,17,-7.745454529306537e-19,-6.610860582571961e-19,0.0,0.0025012506253126563
